,MM021,MM023,MM025,MM026,MM027,MM028,MM033,MM036,MM037,MM039,MM042,MM044,MM046,MM047,MM048,MM049,MM051,MM053,MM058,MM059,MM061,MM062,MM065,MM067,MM069,MM070,MM072,MM075,MM077,MM078,MM079,MM081,MM082,MM084,MM089,MM092,MM094,MM103,MM106
MM046,0.024127164880273565,0.024612971256611542,0.024489345028116345,0.024380681384290982,0.024376408471349205,0.024417207900530178,0.02487304733662707,0.023980956564961103,0.02516792200328436,0.024841143589634428,0.024991607267930725,0.024562629732334196,0.5757102135204313,0.02480297981519263,0.024420502558554897,0.02570972989897256,0.024157274321536075,0.02376859296071035,0.024400046588993862,0.024358898221627977,0.024498309558526804,0.024559078580960708,0.02414870484592648,0.02429597139085483,0.023687122404071982,0.023759169872298747,0.024618201850083864,0.02414728808657106,0.02373672494913205,0.02364462529961841,0.023843581669409773,0.0240965062491455,0.024339048673789866,0.02467428697134591,0.023604056877984794,0.024245192954325062,0.02365872033235958,0.024350053045062922,0.02432794424684048
MM047,0.0246853264527386,0.023739471733174235,0.024171373856615195,0.023661252334505896,0.024216774756220957,0.02640161370659678,0.02387347726910713,0.024398610248934673,0.025281042459325085,0.023822199961029293,0.023933651698518098,0.02478129066189693,0.02480297981519263,0.5759004706850774,0.024686526965959375,0.025147717176634825,0.02386844816845925,0.023789271989863962,0.023702948493624684,0.024876125526824323,0.023741149198375285,0.025358703471128653,0.024422143899976052,0.023605751689717833,0.024682672284962792,0.023666554310815255,0.02439778712445433,0.02454778114426778,0.02407548486750777,0.02371328983178482,0.024779298826861938,0.02389861930363635,0.024680539249731296,0.025240769009461914,0.02373032476231507,0.023771014272131012,0.023637196735405056,0.023681007446028208,0.023591442537044066
MM048,0.02466996437232443,0.024417163463437044,0.02394405135369085,0.02411571807734287,0.02474142205557174,0.024491752096032784,0.02459130140741916,0.024744146812092454,0.024545427941476048,0.02429284135523973,0.02380788422057811,0.02470367305908188,0.024420502558554897,0.024686526965959375,0.5766404137874933,0.024317980992871684,0.024699801250464844,0.02431694041158202,0.02446570151884769,0.02625193506522103,0.023752827567140138,0.02387992479800827,0.024069928794649764,0.023941861269762513,0.024706827084957438,0.024015260240649504,0.02382854546940831,0.024484656791953573,0.024131068553340396,0.024215000096464434,0.024328853050349427,0.024393155852949287,0.023999372594030257,0.02380672413341859,0.024194082182147688,0.023655674016372703,0.0240573266978982,0.023954647539276768,0.023748349298721123
MM049,0.023962183964641243,0.02441834225692511,0.024172929330360395,0.024399107963443613,0.024156623256860174,0.02474740733583674,0.0248402779237411,0.02387377537431002,0.025104801549493932,0.02456821057654219,0.024493816814393856,0.02400174911980814,0.02570972989897256,0.025147717176634825,0.024317980992871684,0.5748744155970406,0.02404496006355728,0.02387851095032615,0.02458354409925248,0.024326046789008023,0.02445803742237903,0.024843494703625093,0.02437127254023514,0.024387867679025316,0.023790780298874555,0.024067516162632682,0.024740765398790915,0.024327190529617015,0.0239209739548171,0.023701548857921455,0.023964488821235905,0.02407178677999923,0.024739199191240405,0.025149809686537627,0.023653878579497502,0.02435589262575791,0.023782104523826064,0.024556593478478005,0.024409651526327715
MM051,0.024695355378131396,0.024480684202217495,0.024058035912796406,0.025061528831983114,0.02483656033338006,0.023915314020226255,0.02414498353487777,0.025000042469610424,0.02425736250788589,0.025281696783208994,0.023899339260944903,0.024847933062513972,0.024157274321536075,0.02386844816845925,0.024699801250464844,0.02404496006355728,0.5759957126145814,0.025091370045786807,0.025073722854722584,0.024822224999425817,0.02376835856611521,0.023662163958821227,0.023720258631184418,0.02417549245469168,0.023864066234762005,0.024672773964248468,0.023698625450760392,0.02401558462951592,0.024470563438465105,0.024551855167279493,0.024047752652583174,0.024320410286295432,0.024274727250449206,0.024150404790916458,0.024130932907230798,0.023986195621453488,0.02394970078390702,0.02395588534371238,0.024441457759178366
MM053,0.023867748351556358,0.02474126816287282,0.025281015084572228,0.02436852409066834,0.02403225133392615,0.023688383825924718,0.02452817355966081,0.024196590898744874,0.02370146922460698,0.02396884891438031,0.024699320820376625,0.024121066712722135,0.02376859296071035,0.023789271989863962,0.02431694041158202,0.02387851095032615,0.025091370045786807,0.57632389084372,0.024980964686815807,0.02413791082663127,0.02466663733845309,0.023882273852331014,0.024246687217277185,0.02402728487113763,0.024284752398326278,0.02417574450460941,0.02393796791660599,0.02393454196622615,0.024259461953389114,0.024450651089248363,0.02422260639795007,0.02442565043161028,0.024321389927208885,0.024261272259736757,0.025406957779145478,0.02399515122559577,0.024856697728132204,0.02458265489071279,0.02395360910382553
MM058,0.02413544953914873,0.024821554223686815,0.02444139185248454,0.025179532552805757,0.025175720377714265,0.02383172240215961,0.024946137944951298,0.024601705456697293,0.02403036028990293,0.025001808872563126,0.02451642270637619,0.02455288632930319,0.024400046588993862,0.023702948493624684,0.02446570151884769,0.02458354409925248,0.025073722854722584,0.024980964686815807,0.5746781702067405,0.02439881667500196,0.024626671209223544,0.023881046459655365,0.023864297390173077,0.0245148407937538,0.023721655096172408,0.024640847480980048,0.02408441405605245,0.02409354877691759,0.024188153185922892,0.02433244720899859,0.023736666288767472,0.02405846825188971,0.024249274031431504,0.02436618628016287,0.0239992358804319,0.024261169851119514,0.02407479149043375,0.024974711846618446,0.024817309422766463
MM059,0.02494184177369383,0.024412830012647997,0.023977455579608557,0.02421350489842618,0.0246432188576085,0.024708346524794,0.024427434188946915,0.024818574926191307,0.02485184403575675,0.024623793278287797,0.024091208826671567,0.024829958966206635,0.024358898221627977,0.024876125526824323,0.02625193506522103,0.024326046789008023,0.024822224999425817,0.02413791082663127,0.02439881667500196,0.5756993404956839,0.02373535656732697,0.02416220319345263,0.02388688685110725,0.023725510883370243,0.024547660227688638,0.024178989321886408,0.02377200918372013,0.024431145369757733,0.024241871016496115,0.024247060218917933,0.02414774917832028,0.02434506211763495,0.024367242336137213,0.023882235891299737,0.024156820585479046,0.023660365013669082,0.023738637249461233,0.02400529465852612,0.02372798331541188
MM061,0.023766628107461343,0.02476362151874832,0.025312098429402075,0.02448456327029507,0.02404162766948288,0.023698507509323896,0.024928006361198404,0.02379589966368203,0.023871231935522742,0.024413112399968784,0.025022664437320825,0.023842924569935593,0.024498309558526804,0.023741149198375285,0.023752827567140138,0.02445803742237903,0.02376835856611521,0.02466663733845309,0.024626671209223544,0.02373535656732697,0.575782039968816,0.024505502144482508,0.024137459162019037,0.024882700905424132,0.0241701415447981,0.023877268300513718,0.024259585966070148,0.023784773726015035,0.02376440540172305,0.02429701342929163,0.02404481727476652,0.02412019607221757,0.024043193437033747,0.024521138596453274,0.024813648113746964,0.024539617656113108,0.024486075868517018,0.025802194023529373,0.02503658259461536
MM062,0.023911404345167198,0.024171963694974794,0.0242258850120084,0.023870069959643726,0.023724724976034534,0.025064543089410286,0.024126424008484665,0.02385059619700062,0.024428839529170937,0.023875616674904808,0.023804755017165585,0.023773561321754934,0.024559078580960708,0.025358703471128653,0.02387992479800827,0.024843494703625093,0.023662163958821227,0.023882273852331014,0.023881046459655365,0.02416220319345263,0.024505502144482508,0.5760775423524727,0.024914338952765548,0.02391786966312643,0.0244290368546319,0.023760268715479566,0.025034522269341122,0.025160745362044157,0.024140643463002175,0.0239813582122687,0.02533848536768711,0.024206164508851234,0.024840634286518375,0.02546975007992853,0.024014153017175365,0.02448579654472257,0.02401547321123606,0.024259139830623874,0.024019790773251923
